Week,Start,Due,Priority,Module,Title,Owner,Acceptance,Release
1,2026-09-14,2026-09-20,P0,Architecture,"Chốt phạm vi ba môn, bốn actor, Learning/Practice/Assessment và quy tắc rủi ro",Sơn,Scope và rule được Khánh/Hoàng xác nhận,Modern demo
1,2026-09-14,2026-09-20,P0,Architecture,"ERD đích, ranh giới bốn project, DI/middleware và constraints",Sơn + Khánh + Hoàng,ERD được review; khác biệt với skeleton được ghi rõ,Modern demo
1,2026-09-14,2026-09-20,P0,DevOps,"Solution skeleton, README, health endpoint và CI baseline",Sơn,Build và CI có link; không nhận là đã xong luồng nghiệp vụ,Modern demo
2,2026-09-21,2026-09-27,P0,Identity,"Đăng ký Student, login/logout, Locked/Disabled và session",Sơn,Tài khoản hợp lệ đăng nhập; tài khoản khóa/bị vô hiệu bị chặn,Modern demo
2,2026-09-21,2026-09-27,P0,Identity,Role/resource authorization một role hoạt động và owner policy,Sơn + Dương,Test 401/403 và Teacher khác owner,Modern demo
2,2026-09-21,2026-09-27,P0,Assessment,"Chốt EF mapping/unique key cho Question, Practice, Assessment, Attempt",Hoàng + Sơn,Một owner migration; schema khớp ERD trước InitialCreate,Modern demo
2,2026-09-21,2026-09-27,P0,UI,UI login/profile và role navigation,Khang + Khánh,Thử Student/Teacher/Admin bằng browser,Modern demo
3,2026-09-28,2026-10-04,P0,Learning,"Catalog, tìm/lọc và Teacher quản lý Course/Module/Lesson",Khánh,Course public và publish hợp lệ; Teacher khác owner không sửa được,Modern demo
3,2026-09-28,2026-10-04,P0,Question Bank,Question Bank theo Teacher và MCQ single-choice,Hoàng,"Tối thiểu 2 option, một đáp án đúng, một PrimarySkill",Modern demo
3,2026-09-28,2026-10-04,P0,UI,UI Catalog/Lesson và dữ liệu demo Reading/Vocabulary,Khang,Đi qua catalog tới chi tiết Course bằng dữ liệu thật,Modern demo
3,2026-09-28,2026-10-04,P0,QA,Review chéo Enrollment/Progress và migration nhỏ,Dương + Hoàng,Có test hoặc PR của người không phải owner,Modern demo
4,2026-10-05,2026-10-11,P0,Learning,"Enroll, Course lifecycle và progress Completed/Incomplete",Khánh,Chặn enroll trùng; mẫu số 0 hiện thông báo; lesson mở không tuần tự,Modern demo
4,2026-10-05,2026-10-11,P0,Practice,"Practice gắn Lesson/Module, submit và feedback",Hoàng,Chỉ kết quả gần nhất; chấm đều; cùng owner/parent,Modern demo
